Min,Avg,Med,Max,Scale,StDev,n,University Name,English Speaking
8.6,9.03,9.01,9.55,10,0.34,5,APJ Abdul Kalam Technological University,N
70.74,72.52,72.52,74.3,100,2.52,2,APJ Abdul Kalam Technological University,N
3.74,4.24,4.26,4.73,5,0.5,3,Aalto University,N
8.04,8.42,8.42,8.8,10,0.54,2,Acharya Nagarjuna University,N
2.8,2.99,2.99,3.18,4,0.27,2,Addis Ababa University,N
71.7,85.11,91,92.63,100,11.64,3,Ain Shams University,N
3.38,3.88,3.9,4.2,4,0.27,8,Ajou University,N
3.68,3.9,3.96,4,4,0.13,5,Alexandria University,N
81.47,87.9,88.34,90.81,100,3.02,8,Alexandria University,N
8.9,9.21,9.21,9.52,10,0.44,2,Aligarh Muslim University,N
3.16,3.47,3.47,3.79,4,0.45,2,Allegheny College,Y
2.36,3.36,3.78,3.93,4,0.87,3,American University,N
3.51,3.57,3.54,3.67,4,0.09,3,American University in Cairo,N
3.51,3.82,3.95,4,4,0.21,7,American University of Beirut,N
76.75,87.56,88.1,98.14,100,5.47,18,American University of Beirut,N
2.49,3.15,3.26,3.69,4,0.61,3,American University of Sharjah,N
3.31,3.69,3.7,3.98,4,0.19,15,Amherst College,Y
13.4,17.02,17.14,20,20,1.94,14,Amirkabir University of Technology,N
6.28,8.15,8.34,9.33,10,1.01,14,Amity University,N
6.63,8.79,8.89,10,10,0.85,48,Amrita Vishwa Vidyapeetham University,N
7.57,8.29,8.28,8.96,10,0.47,6,Andhra University,N
71,74.75,74.75,78.5,100,5.3,2,Andhra University,N
3.04,3.48,3.66,3.75,4,0.39,3,Anhui University,N
6.94,8.58,8.57,9.98,10,0.71,78,Anna University,N
69,80.49,80,100,100,7.24,15,Anna University,N
3.51,3.74,3.85,3.85,4,0.2,3,Appalachian State University,Y
7.49,8.67,8.8,9.67,10,0.84,10,Aristotle University,N
2.97,3.8,3.84,4,4,0.28,25,Arizona State University,Y
58,59.6,59.6,61.2,100,2.26,2,Army Institute of Technology,N
3.18,3.54,3.54,3.91,4,0.31,4,Ashoka University,N
2.63,3.12,2.82,3.72,4,0.55,5,Ateneo de Manila University,N
7.38,8.47,8.43,9.5,10,0.68,13,Athens University of Economics and Business,N
3.61,3.84,3.87,4,4,0.17,4,Auburn University,Y
3.09,3.62,3.69,4,4,0.34,5,Austin College,Y
6.46,6.76,6.81,7,7,0.18,6,Australian National University,Y
83.54,86.77,86.77,90,100,4.57,2,Australian National University,Y
8.18,9,8.98,9.71,10,0.41,18,B. M. Sreenivasaiah College of Engineering,N
73.5,76.16,76.16,78.82,100,3.76,2,B. M. Sreenivasaiah College of Engineering,N
7.9,8.9,9.34,9.47,10,0.87,3,BML Munjal University,N
8.39,9.07,9.25,9.6,10,0.38,13,BMS College of Engineering,N
3.27,3.31,3.31,3.35,4,0.06,2,BRAC University,N
3.78,3.79,3.79,3.81,4,0.02,2,Bahcesehir University,N
3.73,3.86,3.84,4,4,0.14,3,Ball State University,N
8.17,8.94,8.98,9.68,10,0.76,3,Banaras Hindu University,N
78.78,82.58,83.3,85.66,100,3.5,3,Banasthali Vidyapith,N
3.19,3.59,3.61,3.93,4,0.24,6,Bandung Institute of Technology,N
70.1,75.28,75.91,79.2,100,3.98,4,Bangalore University,N
3.06,3.84,3.94,4,4,0.22,21,Bangladesh University of Engineering and Technology,N
3.14,3.72,3.81,4,4,0.26,12,Bard College,Y
3.16,3.56,3.54,4,4,0.36,4,Barnard College,Y
2.84,3.58,3.8,4,4,0.45,9,Baruch College,N
3.11,3.6,3.63,3.87,4,0.3,5,Baylor University,Y
3,3.65,3.7,4,4,0.2,222,Beihang University,N
83,88.48,88.5,92.6,100,2.5,46,Beihang University,N
3.45,3.64,3.69,3.84,4,0.16,5,Beijing Foreign Studies University,N
87.14,89.73,89.5,93.58,100,2.57,5,Beijing Foreign Studies University,N
82.59,87.91,87.33,100,100,5.51,8,Beijing Forestry University,N
3.2,3.41,3.41,3.61,4,0.29,2,Beijing Information Science and Technology University,N
80,85.09,85.09,90.17,100,7.19,2,Beijing Information Science and Technology University,N
3.18,3.62,3.64,3.97,4,0.2,23,Beijing Institute of Technology,N
75,88,88.23,100,100,3.78,55,Beijing Institute of Technology,N
3,3.67,3.73,3.92,4,0.23,17,Beijing Jiaotong University,N
3.89,4.05,4.05,4.21,5,0.23,2,Beijing Jiaotong University,N
81.3,88.71,90.6,95.7,100,4.27,17,Beijing Jiaotong University,N
3.5,3.68,3.71,3.92,4,0.18,5,Beijing Language and Culture University,N
86.4,89.47,89.9,92.05,100,2.5,5,Beijing Language and Culture University,N
3.55,3.77,3.82,3.92,4,0.16,7,Beijing Normal University,N
83,89.17,89.04,95.94,100,3.03,25,Beijing Normal University,N
3.32,3.48,3.48,3.65,4,0.23,2,Beijing Normal University-Hong Kong Baptist University United International College,N
86.6,88.5,89,89.9,100,1.71,3,Beijing Technology and Business University,N
3.1,3.41,3.4,3.74,4,0.32,3,Beijing University of Aeronautics and Astronautics,N
86,86.1,86.1,86.2,100,0.14,2,Beijing University of Aeronautics and Astronautics,N
3.56,3.68,3.7,3.78,4,0.11,3,Beijing University of Chemical Technology,N
85.07,88.56,88.56,92.06,100,4.94,2,Beijing University of Chemical Technology,N
85.39,88.51,89.08,90.58,100,2.13,5,Beijing University of Post and Telecommunication,N
2.78,3.55,3.58,4,4,0.24,55,Beijing University of Posts and Telecommunications,N
76,87.39,87.79,100,100,3.41,251,Beijing University of Posts and Telecommunications,N
2.79,3.6,3.69,3.95,4,0.32,32,Beijing University of Technology,N
3.55,3.77,3.77,3.99,4,0.31,2,Belmont University,N
85,91.81,93.25,95.75,100,4.8,4,"Ben-Gurion University, Beer-Sheva City, Israel",N
3.92,3.96,3.96,4,4,0.06,2,Benedict College,N
79.89,84.61,85.58,87.4,100,3.26,4,Bengal Engineering College,N
8.82,8.91,8.91,9.01,10,0.13,2,"Bharati Vidyapeeth's College of Engineering, New Delhi",N
71.53,79.47,79.47,87.4,100,11.22,2,"Bharati Vidyapeeth’s College of Engineering, New Delhi",N
7.65,8.13,8.3,8.6,10,0.42,5,"Biju Pattnaik University of Technology, Rourkela",N
74.02,78.31,78.31,82.6,100,6.07,2,"Biju Pattnaik University of Technology, Rourkela",N
3.08,3.66,3.73,3.99,4,0.23,45,Bilkent University,N
2.5,3.53,3.65,4,4,0.44,10,Binghamton University,Y
6.25,7.22,7.56,7.85,10,0.85,3,Birla Institue of Technology,N
5.87,8.27,8.32,9.88,10,0.73,133,Birla Institute of Technology and Science Pilani - Goa Campus,N
3.59,3.65,3.65,3.7,4,0.08,2,"Birla Institute of Technology and Science, Pilani",N
5.34,8.52,8.61,10,10,0.88,240,"Birla Institute of Technology and Science, Pilani",N
6.37,8.71,8.76,9.93,10,0.77,22,"Birla Institute of Technology and Science, Pilani-Dubai Campus",N
6.49,8.66,8.79,9.95,10,0.82,80,"Birla Institute of Technology and Science, Pilani-Hyderabad",N
6.21,7.9,8,9.22,10,0.73,45,"Birla Institute of Technology, Mesra, Ranchi",N
73.4,75.7,75.7,78,100,3.25,2,"Birla Institute of Technology, Mesra, Ranchi",N
3.47,3.76,3.79,4,4,0.23,4,Bloomsburgh University of Pennsylvania,Y
2.57,3.29,3.23,4,4,0.47,20,Bogazici University,N
3.9,3.94,3.94,3.98,4,0.06,2,Boise State University,Y
3.34,3.72,3.7,3.97,4,0.16,20,Boston College,Y
2.58,3.62,3.65,4,4,0.29,57,Boston University,Y
3.4,3.67,3.76,3.95,4,0.22,11,Bowdoin College,Y
